name	descr	pvalue	qvalue	NES	ES
FC RECEPTOR MEDIATED INHIBITORY SIGNALING PATHWAY%GOBP%GO:0002774	NEGATIVE REGULATION OF MRNA METABOLIC PROCESS	0.930741190765492	1	-0.722658420360982	-0.23778837091841
NEGATIVE REGULATION OF STRESS FIBER ASSEMBLY%GOBP%GO:0051497	NEGATIVE REGULATION OF SISTER CHROMATID SEGREGATION	0.684813753581662	1	-0.840450839526407	-0.349843730954344
NEGATIVE REGULATION OF EOSINOPHIL ACTIVATION%GOBP%GO:1902567	RNA 3'-END PROCESSING	0.0853658536585366	0.712105445716268	-1.30571095952608	-0.43269353364811
POSITIVE REGULATION OF TIGHT JUNCTION DISASSEMBLY%GOBP%GO:1905075	RESPONSE TO AMYLOID-BETA	0.15018315018315	0.840816770030591	1.26608454702964	0.4342836574069
SELF PROTEOLYSIS%GOBP%GO:0097264	DETECTION OF BIOTIC STIMULUS	0.813620071684588	1	0.766749393291823	0.270451672828896
POSITIVE REGULATION OF CAMKK-AMPK SIGNALING CASCADE%GOBP%GO:1905291	PEPTIDE TRANSPORT	0.131396957123098	0.810063591786699	-1.30017939914206	-0.517858431106532
NEGATIVE REGULATION OF MESENCHYMAL CELL PROLIFERATION INVOLVED IN URETER DEVELOPMENT%GOBP%GO:0072200	GLYCOLYTIC PROCESS	0.0374531835205993	0.598824934718596	1.5483022371902	0.527308233799704
POSITIVE REGULATION OF PERK-MEDIATED UNFOLDED PROTEIN RESPONSE%GOBP%GO:1903899	LIPID DROPLET FORMATION	0.31937984496124	1	-1.14733959764464	-0.556931803423125
REGULATION OF GASTRO-INTESTINAL SYSTEM SMOOTH MUSCLE CONTRACTION%GOBP%GO:1904304	SINGLE FERTILIZATION	0.131034482758621	0.810063591786699	1.35836226784685	0.478062788882923
REGULATION OF MITOTIC METAPHASE/ANAPHASE TRANSITION%GOBP%GO:0030071	GLUTAMATE METABOLIC PROCESS	0.0742857142857143	0.683894939141576	1.49085124532054	0.625256616696921
POSITIVE REGULATION OF ACTIVATED CD8-POSITIVE, ALPHA-BETA T CELL APOPTOTIC PROCESS%GOBP%GO:1905404	INOSITOL PHOSPHATE METABOLIC PROCESS	0.524355300859599	1	-0.961466631517892	-0.400217428241091
OVIDUCT DEVELOPMENT%GOBP%GO:0060066	POSITIVE REGULATION OF EXTRACELLULAR MATRIX ORGANIZATION	0.873887240356083	1	-0.681217922777338	-0.296244169162999
ETHER BIOSYNTHETIC PROCESS%GOBP%GO:1901503	POSITIVE REGULATION OF POTASSIUM ION TRANSMEMBRANE TRANSPORT	0.271708683473389	0.960592154769332	1.17540408424398	0.500942151360565
REGULATION OF LIPOPROTEIN METABOLIC PROCESS%GOBP%GO:0050746	NEGATIVE REGULATION OF NATURAL KILLER CELL MEDIATED IMMUNITY	0.255988023952096	0.941271784788632	-1.20420116912419	-0.534532203671439
PYRIMIDINE NUCLEOSIDE TRANSPORT%GOBP%GO:0015864	INNER EAR DEVELOPMENT	0.233333333333333	0.92753194961264	1.19684699050764	0.433714484341215
POSITIVE REGULATION OF SYNAPTIC VESICLE RECYCLING%GOBP%GO:1903423	REGULATION OF MUSCLE CELL APOPTOTIC PROCESS	0.370786516853933	1	-1.08393676395902	-0.441959339346633
NEURAL TUBE DEVELOPMENT%GOBP%GO:0021915	POSITIVE REGULATION OF CHOLESTEROL METABOLIC PROCESS	0.789877300613497	1	-0.753609236013227	-0.356136751987484
REGULATION OF NEUTROPHIL MEDIATED KILLING OF BACTERIUM%GOBP%GO:0070950	AMINO ACID ACTIVATION	0.354666666666667	1	-1.08719997379918	-0.397617871037768
REGULATION OF INTERLEUKIN-18 PRODUCTION%GOBP%GO:0032661	REGULATION OF MACROPHAGE CHEMOTAXIS	0.414492753623188	1	1.03062409703957	0.417465281344878
CRANIAL GANGLION DEVELOPMENT%GOBP%GO:0061550	POSITIVE REGULATION OF TRIGLYCERIDE METABOLIC PROCESS	0.271084337349398	0.960592154769332	-1.18312649767975	-0.533188665094963
EPITHELIAL CELL PROLIFERATION INVOLVED IN PROSTATIC BUD ELONGATION%GOBP%GO:0060517	POSITIVE REGULATION OF INTERLEUKIN-1 PRODUCTION	0.728	1	0.871512658397663	0.267587418935535
REGULATION OF MUSCLE SYSTEM PROCESS%GOBP%GO:0090257	NEGATIVE REGULATION OF T-HELPER 17 CELL DIFFERENTIATION	0.248571428571429	0.933857636208021	1.21063354566961	0.507734515566929
NEGATIVE REGULATION OF NEUTROPHIL DIFFERENTIATION%GOBP%GO:0045659	LIPID CATABOLIC PROCESS	0.465301478953356	1	-1.01142854462345	-0.311311681442942
EPIDERMAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007173	REGULATION OF GLYCOGEN METABOLIC PROCESS	0.31524926686217	1	-1.13966115741368	-0.489334096099608
GALACTOSE METABOLIC PROCESS%GOBP%GO:0006012	REGULATION OF PROTEIN DEPOLYMERIZATION	0.818537859007833	1	-0.772837516581433	-0.274821900990039
NEGATIVE REGULATION OF CONNECTIVE TISSUE REPLACEMENT%GOBP%GO:1905204	ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS	0.628041714947856	1	-0.9199783182687	-0.292585555017417
WYBUTOSINE BIOSYNTHETIC PROCESS%GOBP%GO:0031591	REGULATION OF KERATINOCYTE DIFFERENTIATION	0.706586826347305	1	0.83355130608994	0.322343494823008
PYRIMIDINE RIBONUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009193	MAGNESIUM ION TRANSPORT	0.0521739130434783	0.631045081967213	1.54159158308332	0.624438110654874
PROLYL-TRNA AMINOACYLATION%GOBP%GO:0006433	INTRACELLULAR STEROL TRANSPORT	0.917562724014337	1	0.696337363384677	0.245615590215371
NAD+ CATABOLIC PROCESS%GOBP%GO:0019677	MONONUCLEAR CELL PROLIFERATION	0.0307076101468625	0.598824934718596	-1.47432254500865	-0.56461988622532
REGULATION OF MONOCYTE CHEMOTACTIC PROTEIN-1 PRODUCTION%GOBP%GO:0071637	VASCULAR PROCESS IN CIRCULATORY SYSTEM	0.0529411764705882	0.631045081967213	1.27376035700568	0.33865468312217
ACETYL-COA TRANSMEMBRANE TRANSPORT%GOBP%GO:0035348	REGULATION OF NEUTROPHIL MIGRATION	0.858681022880215	1	-0.717961970185411	-0.276847531422724
HEAT ACCLIMATION%GOBP%GO:0010286	AORTIC VALVE MORPHOGENESIS	0.356521739130435	1	1.08622813538999	0.439988290054406
TOLERANCE INDUCTION TO NONSELF ANTIGEN%GOBP%GO:0002462	DEOXYRIBONUCLEOTIDE BIOSYNTHETIC PROCESS	0.607751937984496	1	-0.901251686830573	-0.437477908297683
FORAMEN OVALE CLOSURE%GOBP%GO:0035922	INTRA-GOLGI VESICLE-MEDIATED TRANSPORT	0.778820375335121	1	-0.78392342565069	-0.301385103292872
REGULATION OF OXIDATIVE STRESS-INDUCED INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1902175	NUCLEAR DIVISION	0.938189845474614	1	-0.754317852841731	-0.227028924288626
POSITIVE REGULATION OF LAMELLIPODIUM MORPHOGENESIS%GOBP%GO:2000394	REGIONALIZATION	0.458385093167702	1	-1.00623818066301	-0.337473630678359
REGULATION OF CYTOPLASMIC TRANSLATIONAL INITIATION%GOBP%GO:1904688	PHOSPHATIDYLGLYCEROL METABOLIC PROCESS	0.709677419354839	1	-0.827266641974668	-0.355201870179289
PURINE NUCLEOSIDE MONOPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009127	NEGATIVE REGULATION OF SMALL GTPASE MEDIATED SIGNAL TRANSDUCTION	0.624834874504623	1	-0.908015600540023	-0.336486147808901
NEGATIVE REGULATION OF T-HELPER 17 CELL LINEAGE COMMITMENT%GOBP%GO:2000329	NEURON PROJECTION ORGANIZATION	0.0599250936329588	0.637876988510826	1.45131012938903	0.494275447416883
REGULATION OF KINETOCHORE ASSEMBLY%GOBP%GO:0090234	LUNG DEVELOPMENT	0.98695652173913	1	-0.515967388524961	-0.217668478160743
